id_solicitud,edad,ciudad,estrato,ingreso_mensual,antiguedad_laboral_meses,num_creditos_activos,utilizacion_cupo,mora_maxima_12m,num_consultas_6m,dti,default
SC-000000,35,Bogota,2,1000000.0,128,2,0.35,60,5,0.298,0
SC-000001,28,Bogota,1,1118000.0,278,2,0.306,30,2,0.156,0
SC-000002,37,Barranquilla,2,2023000.0,61,1,0.122,0,2,0.142,0
SC-000003,48,Barranquilla,3,1000000.0,16,5,0.28,0,4,0.748,1
SC-000004,27,Bogota,5,1000000.0,101,3,0.06,150,1,0.33,0
SC-000005,27,Bucaramanga,4,1428000.0,2,4,0.1,0,3,0.213,0
SC-000006,48,Bogota,4,1000000.0,12,3,0.177,0,7,0.174,0
SC-000007,39,Cali,3,1000000.0,109,0,0.372,0,1,0.0,0
SC-000008,24,Barranquilla,6,1000000.0,14,3,0.169,90,1,0.272,0
SC-000009,36,Bucaramanga,3,1000000.0,11,1,0.137,90,2,0.111,0
SC-000010,24,Barranquilla,1,1000000.0,7,0,0.205,0,0,0.0,0
SC-000011,24,Bucaramanga,4,1000000.0,94,3,0.196,90,4,0.43,1
SC-000012,32,Medellín,2,1687000.0,33,3,0.627,0,3,0.31,0
SC-000013,18,Bucaramanga,3,2116000.0,53,1,0.198,0,3,0.119,0
SC-000014,18,Bogota,4,1456000.0,13,1,0.533,60,1,0.14,0
SC-000015,23,Bucaramanga,5,1000000.0,68,4,0.202,90,1,0.259,0
SC-000016,18,Cali,3,1000000.0,68,0,0.489,0,1,0.0,0
SC-000017,33,Bucaramanga,4,1000000.0,17,2,0.127,0,8,0.121,0
SC-000018,19,Medellín,6,1410000.0,25,3,0.559,60,0,0.192,0
SC-000019,18,Barranquilla,2,1470000.0,11,1,0.24,60,3,0.101,0
SC-000020,47,Cali,3,1000000.0,180,0,0.094,90,2,0.0,0
SC-000021,27,Cartagena,3,1034000.0,49,3,0.459,0,6,0.277,1
